TP,SL,total_profit,combined_pf,total_trades,days_ok,elapsed_s
20.0,10.0,879.71,1.256,374,15,298.0
20.0,8.0,535.32,1.118,501,15,183.7
25.0,10.0,413.46,1.112,383,15,180.6
25.0,8.0,165.25,1.035,511,15,188.6
10.0,12.0,120.37,1.028,404,15,184.3
20.0,12.0,29.47,1.006,413,15,712.7
15.0,10.0,-44.95,0.988,394,15,185.4
10.0,8.0,-152.32,0.967,536,15,183.7
25.0,12.0,-223.26,0.954,411,15,186.0
10.0,10.0,-230.36,0.938,401,15,185.5
15.0,8.0,-558.79,0.891,520,15,184.2
15.0,12.0,-767.97,0.844,393,15,180.4
20.0,6.0,-1568.23,0.73,667,15,178.1
10.0,6.0,-1623.78,0.727,725,15,29.9
15.0,6.0,-2123.38,0.638,673,15,120.5
25.0,6.0,-2147.53,0.648,685,15,183.1
